Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Year,Spotify Streams (Millions)
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,56,194.0,4281468720.0,590392.0,165544011.0,83.0,2019,4281.46872
Shape of You,Shape of You,Ed Sheeran,2017-01-06,54,195.1,3909458734.0,316378.0,148037882.0,80.0,2017,3909.458734
Shape of You,Shape of You,xSyborg,2021-02-20,"1,807",36.3,3888356417.0,,,,2021,3888.356417
Someone You Loved,Breach,Lewis Capaldi,2018-11-08,133,129.7,3427498835.0,338763.0,160553919.0,82.0,2018,3427.498835
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,116,143.9,3358704125.0,392082.0,123917182.0,79.0,2018,3358.704125
As It Was,As It Was,Harry Styles,2022-03-31,20,292.0,3301814535.0,407119.0,169783402.0,87.0,2022,3301.814535
Starboy,Starboy,The Weeknd,2016-09-22,265,95.7,3291262413.0,366133.0,98022646.0,84.0,2016,3291.262413
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,2016-04-04,518,67.9,3192204066.0,379853.0,131832723.0,82.0,2016,3192.204066
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,27,266.3,3107100349.0,451732.0,134793519.0,78.0,2021,3107.100349
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,40,214.5,3071214106.0,375201.0,64901153.0,71.0,2019,3071.214106
Believer,Believer,Imagine Dragons,2017-01-31,119,142.2,3006226762.0,335880.0,89243475.0,81.0,2017,3006.226762
Heat Waves,Heat Waves,Glass Animals,2020-06-29,71,175.0,2996181078.0,486278.0,112416489.0,82.0,2020,2996.181078
Perfect,ıı (Deluxe),Ed Sheeran,2017-03-03,81,167.5,2969999682.0,280165.0,116921604.0,81.0,2017,2969.999682
rockstar (feat. 21 Savage),rockstar,Post Malone,2017-09-15,231,101.8,2960046642.0,352745.0,82442565.0,77.0,2017,2960.046642
Sweater Weather,I'm Sorry...,The Neighbourhood,2012-01-01,809,53.9,2916412507.0,415650.0,149359220.0,85.0,2012,2916.412507
Closer,Closer,The Chainsmokers,2016-07-29,173,114.6,2880536961.0,285381.0,129399627.0,80.0,2016,2880.536961
Say You Won't Let Go,Say You Won't Let Go,James Arthur,2016-09-09,462,71.5,2830962669.0,233504.0,128647419.0,82.0,2016,2830.962669
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,2018-05-25,165,117.6,2738293818.0,251033.0,108433327.0,74.0,2018,2738.293818
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,243,99.7,2708151499.0,298135.0,159003869.0,82.0,2019,2708.151499
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,149,124.6,2607121959.0,270230.0,143953432.0,78.0,2019,2607.121959
Something Just Like This,Something Just Like This,The Chainsmokers,2017-02-22,273,94.0,2596644721.0,278237.0,128709855.0,82.0,2017,2596.644721
Lucid Dreams,Lucid Dreams,Juice WRLD,2018-05-04,150,123.9,2548389305.0,339306.0,75858140.0,78.0,2018,2548.389305
Take Me to Church,Take Me To Church,Hozier,2013-09-16,"1,293",41.4,2544489950.0,238611.0,69693570.0,78.0,2013,2544.48995
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,2013-01-01,"1,223",42.8,2541833602.0,369150.0,165607442.0,80.0,2013,2541.833602
God's Plan,Diplomatic Immunity,Drake,2018-01-20,278,92.9,2529948475.0,313741.0,79266167.0,77.0,2018,2529.948475
Photograph,x (Wembley Edition),Ed Sheeran,2013-01-01,980,48.8,2525355904.0,208671.0,121163411.0,77.0,2013,2525.355904
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,164,117.7,2516804300.0,296739.0,113315017.0,76.0,2019,2516.8043
Circles,Circles,Post Malone,2019-08-30,170,116.0,2481391466.0,332437.0,124491320.0,80.0,2019,2481.391466
Counting Stars,Native (Standard),OneRepublic,2013-01-01,892,51.1,2466006842.0,343135.0,114346295.0,81.0,2013,2466.006842
Shallow,Shallow,Lady Gaga,2018-09-27,204,106.9,2447973078.0,221822.0,90174192.0,78.0,2018,2447.973078
Another Love,Songs from Another Love,Tom Odell,2012-01-01,"1,842",33.9,2444335468.0,380675.0,168483196.0,83.0,2012,2444.335468
Love Yourself,Love Yourself,Justin Bieber,2015-11-09,530,66.8,2423583406.0,221550.0,85152861.0,78.0,2015,2423.583406
